#threads: 4
#Benchmark, creating and producing/consuming with threads!
#
#
#{#productions	timeGreen(ms)	timePthread(ms)}
200	7.722000	7.718000
400	12.392000	8.440000
600	14.337000	30.382000
800	23.300000	18.108000
1000	29.045000	38.490000
1200	32.608000	27.157000
1400	43.430000	101.303000
1600	39.827000	115.262000
1800	44.701000	118.108000
2000	57.692000	68.339000
2200	64.685000	158.280000
2400	52.325000	184.478000
2600	53.410000	142.981000
2800	55.794000	45.541000
3000	60.218000	196.399000
3200	64.950000	207.392000
3400	76.007000	224.519000
3600	66.049000	224.196000
3800	68.988000	248.418000
4000	73.340000	243.420000
4200	74.410000	256.996000
4400	75.708000	299.931000
4600	84.682000	290.399000
4800	96.598000	304.736000
5000	90.561000	319.968000
5200	88.321000	329.810000
5400	112.933000	303.170000
5600	102.285000	67.292000
5800	93.122000	400.749000
6000	102.447000	205.776000
6200	105.066000	389.164000
6400	109.051000	76.332000
6600	104.911000	413.459000
6800	115.276000	83.782000
7000	113.184000	430.527000
7200	131.225000	351.167000
7400	160.993000	192.732000
7600	162.794000	374.792000
7800	168.416000	152.706000
8000	180.919000	211.828000
8200	178.115000	161.673000
8400	185.939000	134.447000
8600	183.870000	232.752000
8800	202.230000	280.297000
9000	219.716000	173.784000
9200	205.067000	264.297000
9400	206.401000	192.920000
9600	210.963000	446.164000
9800	213.199000	234.532000
10000	230.935000	355.349000
