# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Bfree	Time(ms)Free}
2510	0.010678	0.000644
2520	0.009605	0.000471
2530	0.007643	0.000467
2540	0.011006	0.000504
2550	0.009446	0.000514
2560	0.012657	0.000599
2570	0.011661	0.000626
2580	0.010794	0.000551
2590	0.008013	0.000465
2600	0.009116	0.000586
2610	0.010207	0.000560
2620	0.010016	0.000573
2630	0.010289	0.000494
2640	0.010713	0.000599
2650	0.011857	0.000641
2660	0.008981	0.000581
2670	0.009159	0.000534
2680	0.010308	0.000535
2690	0.009944	0.000514
2700	0.008568	0.000563
2710	0.009252	0.000501
2720	0.009729	0.000559
2730	0.008155	0.000519
2740	0.010391	0.000712
2750	0.009448	0.000663
2760	0.007913	0.000532
2770	0.008819	0.001365
2780	0.009302	0.000516
2790	0.010048	0.000539
2800	0.009883	0.000508
2810	0.009590	0.000533
2820	0.008892	0.000488
2830	0.009611	0.000704
2840	0.009916	0.000487
2850	0.010425	0.000505
2860	0.010335	0.000645
2870	0.008587	0.000512
2880	0.007902	0.000500
2890	0.009692	0.000520
2900	0.009984	0.000666
2910	0.010538	0.000785
2920	0.010082	0.000660
2930	0.007910	0.000546
2940	0.008393	0.000767
2950	0.009802	0.000578
2960	0.009974	0.000559
2970	0.009592	0.000562
2980	0.009836	0.000568
2990	0.009044	0.000783
3000	0.009335	0.000586
3010	0.010678	0.000843
3020	0.008144	0.000507
3030	0.007817	0.000601
3040	0.009768	0.000533
3050	0.008568	0.000574
3060	0.009423	0.000560
3070	0.010203	0.000630
3080	0.008501	0.000557
3090	0.008012	0.000537
3100	0.009194	0.000568
3110	0.009648	0.000620
3120	0.010170	0.000576
3130	0.007772	0.000554
3140	0.008242	0.000553
3150	0.008987	0.000372
3160	0.010903	0.000772
3170	0.009554	0.000638
3180	0.009016	0.000687
3190	0.008365	0.000587
3200	0.009818	0.000690
3210	0.010842	0.000557
3220	0.008689	0.000566
3230	0.009547	0.000574
3240	0.008917	0.000506
3250	0.009231	0.000566
3260	0.008885	0.000528
3270	0.007538	0.000373
3280	0.009944	0.000486
3290	0.009058	0.000720
3300	0.008142	0.000570
3310	0.010471	0.000657
3320	0.009169	0.000577
3330	0.009627	0.000765
3340	0.009605	0.000747
3350	0.009915	0.000599
3360	0.010196	0.000603
3370	0.010468	0.000619
3380	0.008428	0.000573
3390	0.008679	0.000670
3400	0.010179	0.000668
3410	0.010791	0.000750
3420	0.010418	0.000631
3430	0.009047	0.000598
3440	0.009542	0.000665
3450	0.009322	0.000690
3460	0.009806	0.000554
3470	0.010492	0.000690
3480	0.008951	0.000630
3490	0.009332	0.000815
3500	0.010122	0.000765
3510	0.009350	0.000687
3520	0.010749	0.000864
3530	0.011269	0.000954
3540	0.009545	0.000686
3550	0.010347	0.000739
3560	0.009580	0.000727
