0.000150	4.096000	0.256000	0.185000	
0.004126	573.440000	917.408000	655.192000	
0.008175	815.104000	1866.816000	1332.094000	
0.012457	872.448000	2740.896000	1952.643000	
0.016067	962.560000	3685.952000	2626.590000	
0.019811	909.312000	4565.952000	3265.830000	
0.025329	921.600000	5491.744000	3923.569000	
0.029913	966.656000	6439.136000	4605.760000	
0.034041	958.464000	7335.392000	5244.514000	
0.038334	905.216000	8209.184000	5868.833000	
0.041751	839.680000	9076.640000	6501.280000	
0.046833	962.560000	10077.184000	7217.319000	
0.053534	942.080000	11053.824000	7923.767000	
0.059794	983.040000	12030.112000	8623.744000	
0.066018	925.696000	12914.528000	9259.333000	
0.071669	970.752000	13851.552000	9922.266000	
0.075585	999.424000	14819.040000	10609.601000	
0.080765	991.232000	15709.920000	11239.166000	
0.084648	970.752000	16571.648000	11866.334000	
0.090042	942.080000	17484.480000	12520.501000	
0.093832	974.848000	18462.080000	13223.092000	
0.099120	1019.904000	19455.072000	13938.662000	
0.103428	1028.096000	20442.304000	14644.830000	
0.106823	942.080000	21322.048000	15274.272000	
0.110262	991.232000	22227.552000	15911.936000	
0.115838	983.040000	23179.264000	16591.824000	
0.121324	933.888000	24081.248000	17230.241000	
0.126512	921.600000	25009.632000	17894.262000	
0.131073	901.120000	25888.352000	18519.165000	
0.135080	864.256000	26757.632000	19136.469000	
0.139030	876.544000	27621.408000	19756.059000	
0.143344	950.272000	28574.848000	20437.614000	
0.147736	974.848000	29523.040000	21121.580000	
0.159135	937.984000	30449.888000	21778.668000	
0.162619	970.752000	31382.432000	22445.600000	
0.165744	970.752000	32267.392000	23094.522000	
0.169392	962.560000	33172.896000	23742.791000	
0.172822	1024.000000	34142.304000	24443.146000	
0.176772	999.424000	35100.544000	25136.776000	
0.180147	987.136000	36052.832000	25814.475000	
0.183837	1028.096000	37060.704000	26536.000000	
0.189541	974.848000	37980.416000	27190.554000	
0.192854	1032.192000	38927.104000	27860.919000	
0.196361	1024.000000	39838.752000	28516.477000	
0.199922	917.504000	40750.016000	29183.527000	
0.203744	966.656000	41690.304000	29865.166000	
0.207252	950.272000	42616.320000	30535.973000	
0.210509	950.272000	43506.048000	31170.607000	
0.213925	917.504000	44416.384000	31829.131000	
0.217069	987.136000	45377.696000	32508.103000	
0.221612	1044.480000	46311.264000	33168.789000	
0.226067	1056.768000	47289.824000	33855.938000	
0.230786	1007.616000	48262.560000	34559.311000	
0.235717	950.272000	49168.064000	35205.019000	
0.239333	974.848000	50134.048000	35897.758000	
0.243209	966.656000	51068.512000	36565.129000	
0.246762	995.328000	52032.832000	37263.365000	
0.250557	978.944000	52941.536000	37921.427000	
0.254706	970.752000	53907.296000	38615.208000	
0.258497	1003.520000	54887.840000	39315.903000	
0.262722	983.040000	55806.720000	39978.032000	
0.267522	1007.616000	56766.880000	40656.479000	
0.272708	974.848000	57753.184000	41355.798000	
0.276286	1024.000000	58709.344000	42047.368000	
0.279752	991.232000	59610.976000	42706.615000	
0.284066	1032.192000	60615.200000	43414.222000	
0.287829	974.848000	61553.088000	44099.414000	
0.291622	950.272000	62498.496000	44791.873000	
0.294923	946.176000	63433.120000	45454.039000	
0.298343	978.944000	64342.400000	46108.341000	
0.301834	950.272000	65308.416000	46800.455000	
0.304977	995.328000	66216.416000	47448.522000	
0.308430	892.928000	67097.120000	48090.492000	
0.311540	905.216000	68032.960000	48785.431000	
0.315485	856.064000	68946.400000	49438.387000	
0.318163	864.256000	69788.928000	50041.805000	
0.321862	876.544000	70713.280000	50716.049000	
0.325194	929.792000	71661.696000	51403.306000	
0.328496	954.368000	72639.584000	52111.638000	
0.332379	978.944000	73581.024000	52788.802000	
0.335882	937.984000	74499.776000	53438.595000	
0.339244	954.368000	75418.976000	54093.390000	
0.342713	921.600000	76330.272000	54745.584000	
0.346229	1003.520000	77314.464000	55452.718000	
0.350085	1040.384000	78256.480000	56132.159000	
0.353408	958.464000	79145.600000	56777.771000	
0.356767	966.656000	80086.976000	57460.288000	
0.360438	999.424000	81010.880000	58123.187000	
0.364321	978.944000	81923.808000	58786.370000	
0.367871	942.080000	82836.960000	59443.472000	
0.371832	913.408000	83831.232000	60159.628000	
0.375309	983.040000	84839.200000	60889.733000	
0.379024	962.560000	85779.264000	61572.481000	
0.383025	946.176000	86709.760000	62233.077000	
0.386406	974.848000	87676.352000	62933.891000	
0.389619	925.696000	88571.360000	63582.513000	
0.392632	892.928000	89428.832000	64202.723000	
0.396253	962.560000	90433.600000	64929.094000	
0.399279	929.792000	91267.904000	65527.484000	
0.402527	901.120000	92182.560000	66177.351000	
