# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Bfree	Time(ms)Free}
2510	0.007028	0.003035
2520	0.007399	0.003199
2530	0.007422	0.002816
2540	0.007140	0.003372
2550	0.007707	0.003390
2560	0.006676	0.003491
2570	0.008492	0.002886
2580	0.008097	0.004209
2590	0.008092	0.003277
2600	0.006956	0.003248
2610	0.008163	0.002942
2620	0.006886	0.002807
2630	0.007578	0.004260
2640	0.007167	0.002826
2650	0.006820	0.002974
2660	0.008156	0.002799
2670	0.008115	0.003483
2680	0.008533	0.002860
2690	0.007877	0.003355
2700	0.007961	0.003657
2710	0.006959	0.003506
2720	0.007893	0.003409
2730	0.008069	0.003855
2740	0.007262	0.003544
2750	0.007403	0.003432
2760	0.007400	0.002982
2770	0.007556	0.002892
2780	0.007186	0.003269
2790	0.007450	0.003044
2800	0.008150	0.003413
2810	0.006812	0.003042
2820	0.006866	0.003144
2830	0.007181	0.003463
2840	0.007279	0.002999
2850	0.007890	0.003355
2860	0.007755	0.003575
2870	0.007882	0.003315
2880	0.006769	0.003218
2890	0.007458	0.003302
2900	0.009280	0.003755
2910	0.008411	0.003311
2920	0.007858	0.003154
2930	0.007424	0.003161
2940	0.007671	0.003648
2950	0.007456	0.003789
2960	0.008106	0.004277
2970	0.007525	0.003794
2980	0.007100	0.004382
2990	0.007290	0.003836
3000	0.007706	0.003612
3010	0.008469	0.003676
3020	0.008044	0.003233
3030	0.008013	0.003806
3040	0.007115	0.003813
3050	0.007374	0.003992
3060	0.006860	0.003214
3070	0.009605	0.005523
3080	0.007952	0.003974
3090	0.007933	0.003599
3100	0.006857	0.003597
3110	0.007341	0.003351
3120	0.007454	0.004274
3130	0.007447	0.003672
3140	0.007247	0.003520
3150	0.007513	0.003702
3160	0.007439	0.003612
3170	0.008824	0.004147
3180	0.007532	0.004874
3190	0.007514	0.003935
3200	0.009093	0.004116
3210	0.007460	0.003864
3220	0.006480	0.003390
3230	0.007492	0.004076
3240	0.005940	0.003141
3250	0.006818	0.003286
3260	0.007097	0.003658
3270	0.007109	0.004534
3280	0.007614	0.003398
3290	0.007514	0.003610
3300	0.006968	0.003523
3310	0.006797	0.003102
3320	0.009357	0.005159
3330	0.007734	0.003724
3340	0.007416	0.004498
3350	0.007842	0.003934
3360	0.008335	0.003959
3370	0.007110	0.003949
3380	0.007368	0.003772
3390	0.008334	0.003836
3400	0.007673	0.003849
3410	0.007397	0.004434
3420	0.008023	0.003935
3430	0.008568	0.004613
3440	0.009462	0.004208
3450	0.009284	0.004444
3460	0.007523	0.003904
3470	0.008312	0.004393
3480	0.007294	0.003990
3490	0.008237	0.004499
3500	0.007467	0.003782
3510	0.006581	0.003898
3520	0.007731	0.004504
3530	0.007332	0.004099
3540	0.006092	0.003748
3550	0.007150	0.003403
3560	0.007726	0.004422
3570	0.007122	0.003810
3580	0.006875	0.004206
3590	0.007649	0.003904
3600	0.007892	0.005365
3610	0.008312	0.004841
3620	0.008103	0.004397
3630	0.008931	0.004455
3640	0.009755	0.005458
3650	0.008967	0.004698
3660	0.008696	0.005085
3670	0.008712	0.005418
3680	0.008945	0.004955
3690	0.008503	0.004287
3700	0.008724	0.004624
3710	0.007398	0.004494
